,c_0,c_18,c_37,c_45
variant_149,336.0,37.0,12.0,13.0
variant_150,658.0,64.0,11.0,27.0
variant_151,402.0,36.0,6.0,9.0
variant_152,527.0,60.0,25.0,13.0
variant_153,1249.0,147.0,234.0,122.0
variant_154,1294.0,80.0,25.0,53.0
variant_155,736.0,73.0,66.0,18.0
variant_156,1483.0,298.0,191.0,181.0
variant_157,2139.0,316.0,240.0,269.0
variant_158,105.0,0.0,0.0,0.0
variant_159,247.0,29.0,32.0,44.0
variant_160,2171.0,373.0,282.0,292.0
variant_161,313.0,46.0,16.0,25.0
variant_162,1510.0,266.0,215.0,211.0
variant_163,736.0,249.0,186.0,250.0
variant_164,167.0,9.0,15.0,5.0
variant_165,60.0,12.0,0.0,0.0
variant_166,560.0,63.0,6.0,16.0
variant_167,48.0,5.0,0.0,0.0
variant_168,370.0,34.0,6.0,4.0
variant_169,276.0,1.0,0.0,0.0
variant_170,566.0,34.0,0.0,0.0
variant_171,1641.0,151.0,246.0,185.0
variant_172,2718.0,301.0,233.0,210.0
variant_173,425.0,101.0,75.0,13.0
variant_174,4058.0,595.0,484.0,219.0
variant_175,198.0,7.0,8.0,8.0
variant_176,458.0,37.0,0.0,0.0
variant_177,232.0,25.0,1.0,0.0
variant_178,720.0,87.0,64.0,40.0
variant_179,10346.0,1662.0,1675.0,1549.0
variant_180,1180.0,193.0,266.0,214.0
variant_181,435.0,42.0,9.0,0.0
variant_182,716.0,35.0,81.0,148.0
variant_183,99.0,7.0,0.0,0.0
variant_184,578.0,45.0,32.0,5.0
variant_185,2145.0,297.0,577.0,682.0
variant_186,105.0,3.0,23.0,0.0
variant_187,414.0,90.0,40.0,72.0
variant_188,536.0,47.0,80.0,86.0
variant_189,664.0,149.0,198.0,168.0
variant_190,715.0,102.0,116.0,172.0
variant_191,434.0,28.0,23.0,0.0
variant_192,554.0,42.0,13.0,0.0
variant_193,49.0,0.0,0.0,2.0
variant_194,471.0,58.0,77.0,79.0
variant_195,345.0,41.0,38.0,45.0
variant_196,408.0,29.0,17.0,10.0
variant_197,207.0,2.0,5.0,0.0
variant_198,374.0,36.0,12.0,49.0
variant_199,476.0,54.0,75.0,64.0
variant_200,352.0,80.0,88.0,98.0
variant_201,378.0,97.0,230.0,132.0
variant_202,555.0,103.0,159.0,163.0
variant_203,133.0,31.0,48.0,26.0
variant_204,71.0,16.0,2.0,15.0
variant_205,155.0,9.0,0.0,12.0
variant_206,876.0,146.0,158.0,196.0
variant_207,96.0,10.0,20.0,0.0
variant_208,237.0,13.0,36.0,3.0
variant_209,331.0,42.0,49.0,58.0
variant_210,536.0,46.0,19.0,6.0
variant_211,194.0,34.0,8.0,21.0
variant_212,464.0,82.0,128.0,139.0
variant_213,299.0,19.0,19.0,6.0
variant_214,850.0,161.0,271.0,236.0
variant_215,388.0,52.0,8.0,7.0
variant_216,713.0,51.0,82.0,87.0
variant_217,988.0,100.0,26.0,34.0
variant_218,179.0,52.0,189.0,192.0
variant_219,1109.0,102.0,46.0,16.0
variant_220,284.0,59.0,69.0,53.0
variant_221,306.0,73.0,136.0,94.0
variant_222,238.0,18.0,9.0,12.0
variant_223,1220.0,128.0,154.0,182.0
variant_224,239.0,20.0,22.0,3.0
variant_225,631.0,99.0,124.0,179.0
variant_226,341.0,69.0,55.0,44.0
variant_227,117.0,7.0,1.0,2.0
variant_228,2745.0,541.0,618.0,442.0
variant_229,340.0,29.0,11.0,13.0
variant_230,4755.0,701.0,810.0,674.0
variant_231,26.0,0.0,9.0,0.0
variant_232,662.0,64.0,18.0,12.0
variant_233,380.0,103.0,100.0,129.0
variant_234,360.0,41.0,8.0,11.0
variant_235,120.0,37.0,3.0,4.0
variant_236,1451.0,153.0,72.0,23.0
variant_237,368.0,21.0,16.0,11.0
variant_238,784.0,103.0,77.0,104.0
variant_239,245.0,62.0,62.0,90.0
variant_240,232.0,58.0,88.0,33.0
variant_241,190.0,22.0,21.0,12.0
variant_242,52.0,38.0,10.0,16.0
variant_243,211.0,29.0,10.0,4.0
variant_244,3495.0,682.0,710.0,662.0
variant_245,4626.0,716.0,991.0,810.0
variant_246,0.0,0.0,0.0,4.0
variant_247,8.0,3.0,0.0,0.0
variant_248,4017.0,604.0,657.0,551.0
variant_249,421.0,117.0,152.0,131.0
variant_250,4047.0,650.0,758.0,689.0
variant_251,1266.0,109.0,185.0,111.0
variant_252,2704.0,363.0,587.0,490.0
variant_253,334.0,29.0,19.0,0.0
variant_254,4377.0,692.0,553.0,516.0
variant_255,6571.0,996.0,1050.0,916.0
variant_256,595.0,196.0,283.0,235.0
variant_257,1426.0,185.0,233.0,221.0
variant_258,618.0,228.0,745.0,843.0
variant_259,4439.0,617.0,801.0,603.0
variant_260,310.0,45.0,72.0,90.0
variant_261,600.0,148.0,146.0,263.0
variant_262,190.0,7.0,5.0,3.0
variant_263,9498.0,1774.0,2376.0,1962.0
variant_264,575.0,170.0,245.0,210.0
variant_265,271.0,30.0,8.0,10.0
variant_266,1002.0,192.0,228.0,195.0
variant_267,584.0,44.0,39.0,31.0
variant_268,5109.0,1314.0,2018.0,1456.0
variant_269,325.0,67.0,70.0,57.0
variant_270,4355.0,769.0,983.0,698.0
variant_271,236.0,78.0,55.0,39.0
variant_272,815.0,167.0,271.0,103.0
variant_273,205.0,20.0,10.0,4.0
variant_274,4816.0,589.0,519.0,543.0
variant_275,77.0,24.0,41.0,26.0
variant_276,2564.0,289.0,234.0,193.0
variant_277,755.0,101.0,104.0,144.0
variant_278,1328.0,236.0,168.0,188.0
variant_279,1127.0,269.0,443.0,279.0
variant_280,1758.0,163.0,126.0,177.0
variant_281,1163.0,41.0,0.0,0.0
variant_282,291.0,54.0,60.0,11.0
variant_283,234.0,3.0,0.0,0.0
variant_284,179.0,20.0,0.0,8.0
variant_285,363.0,35.0,26.0,6.0
variant_286,127.0,11.0,11.0,11.0
variant_287,137.0,19.0,16.0,18.0
variant_288,1712.0,217.0,230.0,150.0
variant_289,1174.0,202.0,133.0,87.0
variant_290,998.0,137.0,187.0,119.0
variant_291,759.0,75.0,21.0,29.0
variant_292,212.0,8.0,21.0,14.0
variant_293,27.0,21.0,0.0,1.0
variant_294,43.0,16.0,0.0,0.0
variant_295,340.0,48.0,43.0,52.0
variant_296,2546.0,245.0,247.0,167.0
variant_297,1025.0,234.0,259.0,131.0
variant_298,720.0,83.0,146.0,106.0
variant_299,1403.0,115.0,90.0,27.0
variant_300,2089.0,313.0,346.0,288.0
variant_301,1187.0,167.0,278.0,225.0
variant_302,155.0,7.0,21.0,24.0
variant_303,219.0,46.0,66.0,52.0
variant_304,1126.0,14.0,0.0,0.0
variant_305,4350.0,624.0,795.0,555.0
variant_306,590.0,43.0,25.0,24.0
variant_307,1364.0,230.0,259.0,189.0
variant_308,90.0,3.0,3.0,0.0
variant_309,889.0,59.0,25.0,14.0
variant_310,353.0,11.0,15.0,14.0
variant_311,53.0,9.0,0.0,7.0
variant_312,391.0,38.0,26.0,24.0
variant_313,1319.0,238.0,263.0,161.0
variant_314,2550.0,311.0,306.0,222.0
variant_315,253.0,54.0,15.0,21.0
variant_316,437.0,31.0,49.0,24.0
variant_317,1547.0,320.0,344.0,344.0
variant_318,613.0,60.0,28.0,39.0
variant_319,1147.0,294.0,540.0,328.0
variant_320,654.0,63.0,85.0,111.0
variant_321,410.0,20.0,24.0,16.0
variant_322,169.0,22.0,18.0,5.0
variant_323,201.0,9.0,2.0,0.0
variant_324,1050.0,199.0,318.0,281.0
variant_325,30.0,20.0,12.0,10.0
variant_326,611.0,119.0,165.0,88.0
variant_327,413.0,74.0,196.0,176.0
variant_328,2685.0,406.0,507.0,593.0
variant_329,428.0,65.0,109.0,73.0
variant_330,4602.0,848.0,1342.0,1131.0
variant_331,230.0,3.0,3.0,0.0
variant_332,58.0,13.0,8.0,0.0
variant_333,3719.0,741.0,1265.0,1290.0
variant_334,624.0,102.0,253.0,342.0
variant_335,3907.0,504.0,563.0,389.0
variant_336,1563.0,171.0,142.0,84.0
variant_337,4792.0,732.0,579.0,472.0
variant_338,664.0,68.0,48.0,48.0
variant_339,737.0,138.0,143.0,113.0
variant_340,4075.0,451.0,537.0,529.0
variant_341,190.0,22.0,0.0,5.0
variant_342,3034.0,374.0,382.0,352.0
variant_343,2695.0,403.0,594.0,441.0
variant_344,70.0,5.0,0.0,9.0
variant_345,214.0,41.0,104.0,76.0
variant_346,273.0,56.0,52.0,54.0
variant_347,97.0,4.0,7.0,0.0
variant_348,313.0,73.0,219.0,229.0
variant_349,121.0,13.0,19.0,12.0
variant_350,500.0,92.0,140.0,132.0
variant_351,702.0,235.0,296.0,202.0
variant_352,613.0,163.0,143.0,186.0
variant_353,306.0,89.0,130.0,132.0
variant_354,518.0,157.0,146.0,125.0
variant_355,141.0,0.0,0.0,0.0
variant_356,735.0,56.0,24.0,14.0
variant_357,409.0,72.0,94.0,58.0
variant_358,540.0,66.0,42.0,18.0
variant_359,4512.0,150.0,49.0,28.0
variant_360,192.0,5.0,0.0,0.0
variant_361,267.0,0.0,0.0,0.0
variant_362,267.0,18.0,0.0,0.0
variant_363,59.0,0.0,0.0,0.0
variant_364,2239.0,30.0,1.0,0.0
variant_365,469.0,3.0,0.0,0.0
variant_366,7758.0,1287.0,1494.0,1090.0
variant_367,2228.0,332.0,357.0,227.0
variant_368,194.0,32.0,25.0,27.0
variant_369,270.0,13.0,28.0,13.0
variant_370,1167.0,186.0,219.0,228.0
variant_371,96.0,6.0,2.0,4.0
variant_372,231.0,42.0,33.0,16.0
variant_373,267.0,17.0,0.0,3.0
variant_374,86.0,0.0,0.0,0.0
variant_375,589.0,1.0,0.0,1.0
variant_376,1367.0,253.0,450.0,311.0
variant_377,328.0,63.0,35.0,50.0
variant_378,517.0,99.0,133.0,113.0
variant_379,413.0,71.0,132.0,160.0
variant_380,435.0,43.0,29.0,11.0
variant_381,412.0,23.0,0.0,6.0
variant_382,422.0,21.0,11.0,4.0
variant_383,448.0,19.0,0.0,1.0
variant_384,606.0,87.0,107.0,61.0
variant_385,78.0,7.0,0.0,1.0
variant_386,93.0,2.0,0.0,0.0
variant_387,155.0,4.0,0.0,6.0
variant_388,1042.0,224.0,571.0,460.0
variant_389,371.0,58.0,132.0,120.0
variant_390,506.0,55.0,40.0,52.0
variant_391,241.0,26.0,73.0,55.0
variant_392,1453.0,244.0,265.0,561.0
variant_393,21.0,17.0,10.0,0.0
variant_394,779.0,81.0,194.0,135.0
variant_395,79.0,5.0,1.0,7.0
variant_396,639.0,121.0,205.0,130.0
variant_397,635.0,89.0,90.0,63.0
variant_398,8633.0,1327.0,1386.0,1247.0
variant_399,5019.0,855.0,999.0,761.0
variant_400,413.0,126.0,78.0,125.0
variant_401,330.0,94.0,150.0,106.0
variant_402,63.0,11.0,8.0,28.0
variant_403,297.0,20.0,30.0,2.0
variant_404,140.0,2.0,0.0,4.0
variant_405,6432.0,134.0,41.0,16.0
variant_406,23.0,0.0,0.0,0.0
variant_407,1088.0,58.0,18.0,19.0
variant_408,291.0,9.0,0.0,0.0
variant_409,3752.0,606.0,795.0,781.0
variant_410,1483.0,150.0,55.0,64.0
variant_411,269.0,72.0,64.0,46.0
variant_412,306.0,33.0,27.0,11.0
variant_413,288.0,27.0,27.0,15.0
variant_414,4212.0,585.0,644.0,519.0
variant_415,128.0,2.0,0.0,0.0
variant_416,2470.0,451.0,574.0,367.0
variant_417,634.0,113.0,108.0,113.0
variant_418,317.0,37.0,30.0,41.0
variant_419,10597.0,1729.0,1720.0,1423.0
variant_420,5285.0,968.0,1100.0,794.0
variant_421,77.0,3.0,0.0,0.0
variant_422,212.0,35.0,56.0,13.0
variant_423,707.0,103.0,75.0,57.0
variant_424,460.0,42.0,39.0,26.0
variant_425,503.0,97.0,185.0,108.0
variant_426,1831.0,170.0,131.0,190.0
variant_427,72.0,14.0,19.0,0.0
variant_428,230.0,13.0,9.0,25.0
variant_429,804.0,129.0,145.0,251.0
variant_430,556.0,133.0,147.0,156.0
variant_431,252.0,70.0,84.0,57.0
variant_432,1211.0,320.0,367.0,345.0
variant_433,494.0,51.0,54.0,118.0
variant_434,372.0,55.0,3.0,38.0
variant_435,9284.0,1327.0,1747.0,1384.0
variant_436,429.0,58.0,102.0,70.0
variant_437,265.0,13.0,40.0,9.0
variant_438,342.0,6.0,30.0,7.0
variant_439,455.0,177.0,203.0,163.0
variant_440,173.0,0.0,0.0,0.0
variant_441,78.0,5.0,0.0,6.0
variant_442,214.0,24.0,57.0,14.0
variant_443,94.0,4.0,6.0,13.0
variant_444,311.0,18.0,11.0,0.0
variant_445,132.0,0.0,0.0,0.0
variant_446,32.0,5.0,0.0,3.0
variant_447,244.0,60.0,31.0,54.0
variant_448,1512.0,295.0,301.0,246.0
variant_449,840.0,59.0,79.0,62.0
variant_450,35.0,0.0,3.0,0.0
variant_451,255.0,30.0,6.0,6.0
variant_452,9.0,4.0,15.0,1.0
variant_453,307.0,73.0,65.0,62.0
variant_454,143.0,4.0,0.0,1.0
variant_455,472.0,66.0,85.0,83.0
variant_456,408.0,81.0,48.0,42.0
variant_457,920.0,183.0,177.0,164.0
variant_458,232.0,6.0,0.0,0.0
variant_459,127.0,47.0,45.0,33.0
variant_460,422.0,104.0,241.0,159.0
variant_461,332.0,44.0,2.0,1.0
variant_462,71.0,0.0,0.0,0.0
variant_463,1098.0,155.0,211.0,110.0
variant_464,1033.0,187.0,184.0,131.0
variant_465,470.0,76.0,173.0,125.0
variant_466,266.0,2.0,19.0,6.0
variant_467,256.0,8.0,5.0,0.0
variant_468,407.0,55.0,97.0,93.0
variant_469,719.0,104.0,145.0,100.0
variant_470,730.0,140.0,120.0,79.0
variant_471,195.0,64.0,73.0,68.0
variant_472,3002.0,454.0,690.0,473.0
variant_473,265.0,45.0,98.0,102.0
variant_474,481.0,46.0,35.0,8.0
variant_475,4276.0,683.0,985.0,914.0
variant_476,914.0,161.0,146.0,157.0
variant_477,1670.0,219.0,254.0,222.0
variant_478,1286.0,6.0,0.0,1.0
variant_479,39.0,4.0,12.0,0.0
variant_480,106.0,17.0,0.0,0.0
variant_481,415.0,31.0,14.0,9.0
variant_482,1490.0,183.0,177.0,124.0
variant_483,77.0,9.0,17.0,9.0
variant_484,129.0,53.0,51.0,63.0
variant_485,372.0,14.0,9.0,2.0
variant_486,1131.0,106.0,46.0,34.0
variant_487,531.0,49.0,70.0,33.0
variant_488,1526.0,154.0,173.0,104.0
variant_489,323.0,6.0,26.0,1.0
variant_490,1533.0,250.0,209.0,238.0
variant_491,1575.0,179.0,241.0,252.0
variant_492,348.0,75.0,144.0,65.0
variant_493,4.0,0.0,0.0,0.0
variant_494,309.0,97.0,117.0,107.0
variant_495,1624.0,304.0,311.0,359.0
variant_496,2970.0,555.0,695.0,524.0
variant_497,432.0,47.0,12.0,2.0
variant_498,93.0,25.0,13.0,13.0
variant_499,1169.0,91.0,62.0,73.0
variant_500,132.0,10.0,1.0,1.0
variant_501,326.0,14.0,46.0,9.0
variant_502,14.0,0.0,1.0,0.0
variant_503,4.0,0.0,0.0,0.0
variant_504,5397.0,930.0,863.0,786.0
variant_505,220.0,61.0,129.0,47.0
variant_506,673.0,134.0,155.0,97.0
variant_507,837.0,171.0,112.0,212.0
variant_508,328.0,17.0,16.0,13.0
variant_509,288.0,35.0,47.0,6.0
variant_510,234.0,69.0,138.0,161.0
variant_511,535.0,73.0,107.0,136.0
variant_512,2332.0,397.0,647.0,695.0
variant_513,475.0,73.0,53.0,71.0
variant_514,1113.0,210.0,398.0,401.0
variant_515,2458.0,366.0,512.0,476.0
variant_516,449.0,76.0,190.0,92.0
variant_517,141.0,26.0,0.0,0.0
variant_518,1418.0,385.0,799.0,767.0
variant_519,1654.0,490.0,923.0,617.0
variant_520,1021.0,121.0,119.0,133.0
variant_521,111.0,35.0,87.0,116.0
variant_522,1236.0,347.0,784.0,729.0
variant_523,751.0,156.0,272.0,277.0
variant_524,1129.0,161.0,234.0,117.0
variant_525,1653.0,197.0,195.0,314.0
variant_526,117.0,13.0,0.0,0.0
variant_527,306.0,15.0,14.0,24.0
variant_528,270.0,22.0,12.0,0.0
variant_529,1313.0,215.0,191.0,176.0
variant_530,214.0,50.0,103.0,28.0
variant_531,664.0,49.0,20.0,22.0
variant_532,94.0,0.0,0.0,0.0
variant_533,535.0,34.0,40.0,10.0
variant_534,3744.0,704.0,798.0,718.0
variant_535,193.0,31.0,26.0,5.0
variant_536,1775.0,275.0,361.0,369.0
variant_537,72.0,4.0,0.0,0.0
variant_538,1993.0,386.0,602.0,531.0
variant_539,3590.0,556.0,895.0,687.0
variant_540,752.0,185.0,398.0,303.0
variant_541,85.0,0.0,0.0,0.0
variant_542,1794.0,156.0,117.0,121.0
variant_543,3852.0,481.0,859.0,714.0
variant_544,555.0,101.0,131.0,142.0
variant_545,177.0,5.0,20.0,0.0
variant_546,825.0,190.0,192.0,155.0
variant_547,868.0,309.0,898.0,908.0
variant_548,2250.0,281.0,348.0,329.0
variant_549,527.0,65.0,47.0,46.0
variant_550,2027.0,98.0,27.0,30.0
variant_551,1063.0,200.0,207.0,208.0
variant_552,196.0,6.0,7.0,0.0
variant_553,431.0,82.0,107.0,46.0
variant_554,358.0,20.0,74.0,30.0
variant_555,2498.0,592.0,838.0,803.0
variant_556,116.0,29.0,28.0,9.0
variant_557,1631.0,156.0,163.0,99.0
variant_558,310.0,31.0,4.0,5.0
variant_559,103.0,6.0,10.0,9.0
variant_560,3161.0,477.0,664.0,617.0
variant_561,401.0,85.0,141.0,168.0
variant_562,222.0,56.0,122.0,55.0
variant_563,1218.0,168.0,61.0,10.0
variant_564,2490.0,449.0,437.0,444.0
variant_565,93.0,20.0,0.0,0.0
variant_566,1287.0,188.0,309.0,236.0
variant_567,501.0,132.0,123.0,243.0
variant_568,3036.0,364.0,405.0,413.0
variant_569,893.0,57.0,57.0,117.0
variant_570,842.0,32.0,0.0,0.0
variant_571,532.0,13.0,0.0,1.0
variant_572,442.0,20.0,14.0,1.0
variant_573,120.0,0.0,0.0,0.0
variant_574,208.0,0.0,0.0,0.0
variant_575,1815.0,170.0,149.0,204.0
variant_576,124.0,0.0,0.0,0.0
variant_577,1423.0,230.0,326.0,287.0
variant_578,1869.0,423.0,613.0,543.0
variant_579,2224.0,380.0,547.0,498.0
variant_580,119.0,4.0,15.0,19.0
variant_581,250.0,22.0,2.0,6.0
variant_582,4475.0,1104.0,1648.0,1494.0
variant_583,2044.0,367.0,420.0,463.0
variant_584,250.0,82.0,63.0,59.0
variant_585,63.0,4.0,11.0,0.0
variant_586,1627.0,302.0,406.0,330.0
variant_587,18.0,0.0,0.0,1.0
variant_588,6613.0,692.0,721.0,387.0
variant_589,447.0,44.0,16.0,21.0
variant_590,230.0,6.0,46.0,21.0
variant_591,1889.0,145.0,113.0,58.0
variant_592,0.0,4.0,0.0,9.0
variant_593,277.0,9.0,4.0,5.0
variant_594,361.0,53.0,11.0,3.0
variant_595,2499.0,291.0,124.0,95.0
variant_596,2676.0,535.0,727.0,728.0
variant_597,792.0,144.0,31.0,18.0
variant_598,209.0,53.0,64.0,29.0
variant_599,509.0,187.0,251.0,246.0
variant_600,394.0,56.0,45.0,12.0
variant_601,1048.0,146.0,282.0,257.0
variant_602,1624.0,142.0,211.0,133.0
variant_603,1262.0,146.0,101.0,51.0
variant_604,1915.0,266.0,208.0,223.0
variant_605,607.0,53.0,30.0,0.0
variant_606,1151.0,253.0,243.0,320.0
variant_607,141.0,9.0,0.0,3.0
variant_608,18.0,0.0,0.0,0.0
variant_609,164.0,12.0,2.0,12.0
variant_610,1135.0,196.0,242.0,311.0
variant_611,325.0,78.0,50.0,53.0
variant_612,732.0,187.0,151.0,171.0
variant_613,1161.0,95.0,46.0,18.0
variant_614,111.0,9.0,4.0,0.0
variant_615,1338.0,151.0,140.0,150.0
variant_616,401.0,156.0,255.0,242.0
variant_617,3854.0,625.0,766.0,484.0
variant_618,578.0,48.0,92.0,84.0
variant_619,2154.0,315.0,386.0,357.0
variant_620,240.0,43.0,30.0,22.0
variant_621,640.0,7.0,1.0,0.0
variant_622,54.0,8.0,0.0,0.0
variant_623,286.0,47.0,76.0,72.0
variant_624,3442.0,497.0,724.0,576.0
variant_625,184.0,0.0,0.0,1.0
variant_626,2830.0,441.0,710.0,603.0
variant_627,666.0,39.0,15.0,3.0
variant_628,61.0,0.0,0.0,0.0
variant_629,444.0,93.0,157.0,171.0
variant_630,850.0,117.0,128.0,109.0
variant_631,564.0,78.0,44.0,17.0
variant_632,2198.0,442.0,740.0,701.0
variant_633,1384.0,351.0,364.0,243.0
variant_634,1421.0,610.0,912.0,853.0
variant_635,1974.0,321.0,582.0,621.0
variant_636,1734.0,229.0,285.0,220.0
variant_637,103.0,0.0,0.0,3.0
variant_638,2934.0,602.0,1060.0,1055.0
variant_639,2183.0,445.0,679.0,540.0
variant_640,84.0,17.0,0.0,2.0
variant_641,573.0,115.0,193.0,137.0
variant_642,752.0,54.0,17.0,17.0
variant_643,1085.0,108.0,100.0,37.0
variant_644,183.0,51.0,63.0,139.0
variant_645,9.0,2.0,4.0,3.0
variant_646,568.0,122.0,314.0,245.0
variant_647,1725.0,275.0,380.0,354.0
variant_648,124.0,23.0,16.0,5.0
variant_649,786.0,136.0,185.0,221.0
variant_650,214.0,10.0,18.0,4.0
variant_651,490.0,99.0,202.0,156.0
variant_652,1322.0,269.0,297.0,289.0
